name,world_ranking,asia_ranking,contry_ranking,country,city,type,acceptance_rat,publication,high_degree,web,language,,
Ankara University,"#581 / 14,131","#95 / 5,830",#3 / 175,Turkey,Ankara,Non-profit,43%,"23,329",Doctorate,www.ankara.edu.tr,Turkish;English,+90 (312) 212 6040,"Rektörlügü, Dögol Caddesi, Tandogan
 Ankara, Ankara, 06100 
Turkey"
Bar-Ilan University,"#480 / 14,131","#71 / 5,830",#6 / 36,Israel,Ramat Gan,Non-profit,49%,"31,391",Bachelor,www.biu.ac.il,Hebrew;English,+972 (3) 5318 111,"Ramat Gan, Tel Aviv District, 52100 
Israel"
Beihang University,"#412 / 14,131","#56 / 5,830",#29 / 960,China,Beijing,Non-profit,44%,"67,291",Bachelor,buaa.edu.cn,Chinese;English,+86 (10) 8231 7685,"37 Xueyuan Road, Haidian District
 Beijing, Beijing, 100083 
China"
Beijing Institute of Technology,"#472 / 14,131","#68 / 5,830",#34 / 960,China,Beijing,Non-profit,38%,"58,229",Doctorate,bit.edu.cn,Chinese;English,+86 (10) 6891 1438,"5 Zhongguancun South Street, Haidian District
 Beijing, Beijing, 100081 
China"
Beijing Normal University,"#336 / 14,131","#43 / 5,830",#21 / 960,China,Beijing,Non-profit,43%,"50,080",Bachelor,www.bnu.edu.cn,Chinese;English,,"19 Xinwai Dajie
 Beijing, Beijing, 100875 
China"
Ben-Gurion University of the Negev,"#395 / 14,131","#54 / 5,830",#5 / 36,Israel,Beersheba,Non-profit,47%,"53,287",Doctorate,in.bgu.ac.il,Hebrew,+972 (8) 646 1223,"PO Box 653
 Beer Sheva, Southern District, 84105 
Israel"
Central South University,"#349 / 14,131","#45 / 5,830",#23 / 960,China,Changsha,Non-profit,75%,"96,010",Doctorate,csu.edu.cn,Chinese;English,+86 (731) 8887 7515,"Lushan South Road, Yuelu District
 Changsha, Hunan, 410078 
China"
Chiba University,"#447 / 14,131","#62 / 5,830",#16 / 719,Japan,Chiba,Non-profit,15%,"47,240",Doctorate,www.chiba-u.ac.jp,Japanese,+81 (43) 251 1111,"1-33 Yayoi-cho, Inage-ku
 Chiba, Chiba, 263-8522 
Japan"
China Agricultural University,"#562 / 14,131","#90 / 5,830",#42 / 960,China,Beijing,Non-profit,26%,"33,187",Bachelor,www.cau.edu.cn,Chinese;English,+86 (10) 6289 2736,"2 Yuanmingyuan West Road, Haidian District
 Beijing, Beijing, 100094 
China"
Chinese University of Hong Kong,"#158 / 14,131","#14 / 5,830",#6 / 960,China,Hong Kong,Non-profit,10%,"83,632",Doctorate,www.cuhk.edu.hk,Chinese;English,+852 3943 7000,"Shatin, New Territories
 Hong Kong 
China"
Chongqing University,"#470 / 14,131","#67 / 5,830",#33 / 960,China,Chongqing,Non-profit,37%,"60,187",Doctorate,cqu.edu.cn,Chinese;English,+86 (23) 6511 1001,"174, Shapingba Zhengjie Street, Shapingba District
 Chongqing, Chongqing, 400044 
China"
Chulalongkorn University,"#487 / 14,131","#74 / 5,830",#1 / 125,Thailand,Bangkok,Non-profit,41%,"29,796",Doctorate,chula.ac.th,English;Thai,+66 (2) 218 3333,"254 Phyathai Road, Pathumwan
 Bangkok, Bangkok, 10330 
Thailand"
City University of Hong Kong,"#319 / 14,131","#37 / 5,830",#17 / 960,China,Hong Kong,Non-profit,35%,"53,591",Doctorate,www.cityu.edu.hk,English,+852 3442 9317,"83, Tat Chee Avenue, Kowloon
 Hong Kong 
China"
Dalian University of Technology,"#410 / 14,131","#55 / 5,830",#28 / 960,China,Dalian,Non-profit,43%,"70,300",Bachelor,www.dlut.edu.cn,Chinese;English,+86 (411) 8470 8702,"2 Linggong Road, Ganjingzi District
 Dalian, Liaoning, 116023 
China"
East China Normal University,"#456 / 14,131","#63 / 5,830",#31 / 960,China,Shanghai,Non-profit,46%,"38,622",Bachelor,www.ecnu.edu.cn,Chinese;English,+86 (21) 6257 2289,"3663 Zhongshan North Road, Putuo District
 Shanghai, Shanghai, 200062 
China"
Fudan University,"#164 / 14,131","#17 / 5,830",#7 / 960,China,Shanghai,Non-profit,32%,"120,614",Doctorate,www.fudan.edu.cn,Chinese;English,+86 (21) 6564 2258,"220 Handan Road
 Shanghai, Shanghai, 200433 
China"
Hacettepe University,"#558 / 14,131","#88 / 5,830",#2 / 175,Turkey,Ankara,Non-profit,95%,"34,731",Doctorate,hacettepe.edu.tr,Turkish;English,+90 (312) 305 5000,"Hacettepe Üniversitesi Rektörlügü Sihhiye
 Ankara, Ankara, 06100 
Turkey"
Hanyang University,"#484 / 14,131","#72 / 5,830",#6 / 193,South Korea,Seoul,For-profit,4%,"51,805",Doctorate,hanyang.ac.kr,Korean,+82 (2) 2220 0045,"222 Wangsimni-ro, Seongdong-gu
 Seoul, Seoul, 133-791 
South Korea"
Harbin Institute of Technology,"#323 / 14,131","#39 / 5,830",#18 / 960,China,Harbin,Non-profit,45%,"100,827",Doctorate,www.hit.edu.cn,English;Chinese,+86 (451) 8641 6602,"92 West Dazhi Street, Nangang District
 Harbin, Heilongjiang, 150001 
China"
Hebrew University of Jerusalem,"#143 / 14,131","#13 / 5,830",#2 / 36,Israel,Jerusalem,Non-profit,25%,"87,321",Doctorate,null,Hebrew;English,+972 (2) 588 2111,"Mount Scopus
 Jerusalem, Jerusalem District, 91905 
Israel"
Hiroshima University,"#320 / 14,131","#38 / 5,830",#12 / 719,Japan,Higashihiroshima,Non-profit,42%,"62,184",null,www.hiroshima-u.ac.jp,Japanese;English,+81 (82) 422 7111,"1-3-2 Kagamiyama
 Higashihiroshima, Hiroshima, 739-8511 
Japan"
Hokkaido University,"#196 / 14,131","#19 / 5,830",#7 / 719,Japan,Sapporo,Non-profit,36%,"104,130",Doctorate,www.hokudai.ac.jp,Japanese;English,+81 (11) 716 2111,"Nishi 5 Kita 8, Kita-ku
 Sapporo, Hokkaido, 060-0808 
Japan"
Hong Kong Baptist University,"#596 / 14,131","#99 / 5,830",#44 / 960,China,Hong Kong,Non-profit,35%,"16,933",Doctorate,hkbu.edu.hk,English;Chinese,+852 3411 7400,"Kowloon Tong
 Hong Kong 
China"
Hong Kong Polytechnic University,"#279 / 14,131","#31 / 5,830",#14 / 960,China,Hong Kong,Non-profit,2%,"67,052",Doctorate,www.polyu.edu.hk,Chinese;English,+852 2766 5111,"Hung Hom
 Hong Kong 
China"
